cell_id,HYBAS_ID,weight
66,7121062720,0.5627615873865415
66,7121064040,0.26708598171783676
67,7121062170,0.0177653817818183
67,7121062720,0.957368643095191
67,7120518940,0.024865975122990894
16,7120513490,0.8472216453643626
16,7121062720,0.15277835463563755
17,7120513490,0.9389236874353541
17,7120513500,0.06107631256464589
34,7120513490,0.025360534175877844
34,7121062720,0.9746394658241221
35,7120513490,0.19330331695388586
35,7121062720,0.5329576318724484
35,7120513500,0.27373905117366576
51,7121062720,0.32992569956769374
51,7120518940,0.33337182095085316
51,7120518950,0.33670247948145293
52,7121062720,0.5003947897746304
52,7120518950,0.49960521022536947
53,7121062720,0.8938064873516629
53,7120513500,0.06256559684509069
53,7120518950,0.04362791580324639
68,7121062720,0.1602590789514367
68,7120518940,0.8397409210485635
71,7121062720,0.19686904021501325
71,7120513500,0.16439440429339575
71,7120518950,0.6387365554915909
84,7121062720,0.04609960490349065
84,7121064040,0.6073552516996436
84,7121064510,0.34654514339686576
85,7121062720,0.7460194040210405
85,7121064510,0.25398059597895944
86,7121062720,0.2582242249369684
86,7120518940,0.7417757750630316
103,7121062720,0.09008272810720422
103,7120518940,0.06012129985384303
103,7121064510,0.8497959720389529
104,7121062720,0.06440021174054696
104,7120518940,0.9292338169189827
104,7121064510,0.006365971340470351
55,7120521580,1.0
72,7120521580,0.4983401717233547
72,7121064580,0.5016598282766451
73,7120521580,1.0
90,7120521580,0.040306067936350026
90,7121064580,0.95969393206365
91,7120521580,0.9853569603404665
91,7121064580,0.014643039659533553
92,7120521580,1.0
108,7120521580,0.527438337652268
108,7121064580,0.47256166234773206
109,7120521580,1.0
110,7120521580,0.9986942269798776
110,7120522290,0.0013057730201223034
111,7120521580,0.9939540739656536
111,7120522290,0.00604592603434627
126,7120521580,0.1458741580151537
126,7121064580,0.3579092421442854
126,7120523490,0.496216599840561
127,7120521580,0.22881808098321343
127,7120522290,0.026264572290946114
127,7120523490,0.7449173467258405
128,7120521580,0.11065755257779039
128,7120522290,0.4721163518539205
128,7120523490,0.4172260955682891
129,7120521580,0.047349986368438256
129,7120522290,0.8234018741349335
129,7120523490,0.1292481394966283
130,7120521580,0.06107974114585681
130,7120522290,0.5601783798054912
130,7120523490,0.018922143474455994
130,7120522410,0.3598197355741961
60,7120518920,0.029878220655126547
60,7120519340,0.9701121781092864
60,7120519350,9.601235587201208e-06
63,7120518930,0.9835961213307478
63,7121064040,0.01640387866925213
64,7120518930,0.16036035604682763
64,7121064040,0.8396396439531724
79,7120518930,0.011059952642617756
79,7120519340,0.3569559153907912
79,7120519350,0.631984131966591
80,7120518930,0.8263782260836904
80,7120519350,0.1736217739163096
81,7120518930,0.8230386101557813
81,7121064040,0.17696138984421866
82,7120518930,0.014418931102242911
82,7121064040,0.9855810688977571
98,7120518930,0.0907968127226211
98,7120519350,0.9092031872773788
99,7120518930,0.5806426627493896
99,7121064040,0.043681936693438166
99,7120519350,0.37567540055717213
100,7120518930,0.07840964245599066
100,7121064040,0.9215903575440093
59,7120519340,1.0
78,7120519340,1.0
96,7120519340,1.0
97,7120519340,0.7764319511567036
97,7120519350,0.22356804884329634
114,7120519340,1.0
115,7120519340,0.9427491584626332
115,7120519350,0.0572508415373669
116,7120519340,0.028213037132331097
116,7120519350,0.44249907739056404
116,7120521870,0.4017063319044423
116,7120521990,0.12758155357266254
131,7120519340,0.009267371082620964
131,7120522290,0.3128401185760537
131,7120522410,0.6778925103413255
132,7120519340,0.9458263780356748
132,7120521990,0.00018571170961011112
132,7120522410,0.05398791025471522
133,7120519340,0.8744163080293763
133,7120521990,0.1255836919706237
134,7120519340,0.27451115309757207
134,7120521870,0.07776826694015664
134,7120521990,0.6477205799622713
150,7120519340,0.10321098734496484
150,7120521990,0.6180351716597252
150,7120522410,0.27875384099530987
83,7121064040,1.0
101,7121064040,0.9999228457585579
101,7121064510,7.715424144206826e-05
102,7121064040,0.20550284534742316
102,7121064510,0.7944971546525768
117,7121064040,0.0728469452318298
117,7120519350,0.2160996195607875
117,7120521870,0.7110534352073826
118,7121064040,0.8120707285521391
118,7120521870,0.187929271447861
119,7121064040,0.7208294978428187
119,7121064510,0.27917050215718126
120,7121064040,0.0001291108679160759
120,7121064510,0.9998708891320839
136,7121064040,0.002439486873619904
136,7120521870,0.99756051312638
137,7121064040,0.05805200888111865
137,7121064510,0.6351278390866941
137,7120521870,0.2644796627524897
137,7121064980,0.04234048927969756
69,7120518940,0.9669172730122694
69,7120518950,0.03308272698773053
70,7120518940,0.10091804183858788
70,7120518950,0.8990819581614122
87,7120518940,1.0
88,7120518940,0.32983197612793413
88,7120518950,0.670168023872066
105,7120518940,0.8811874529156464
105,7120518950,0.010703828199661862
105,7121064460,0.10810871888469191
106,7120518940,0.03184446324712727
106,7120518950,0.4444963274507209
106,7121064460,0.5236592093021519
122,7120518940,0.5330732841687966
122,7121064510,0.4669267158312034
123,7120518940,0.3817052703865355
123,7121064460,0.6182947296134645
140,7120518940,0.05595960400661682
140,7121064510,0.2520790372721435
140,7121064980,0.6919613587212396
141,7120518940,0.4145581744115996
141,7121064460,0.5067774302018644
141,7121064980,0.07866439538653607
89,7120518950,1.0
107,7120518950,0.9087965705067897
107,7121064460,0.09120342949321025
125,7120518950,0.25555913118933615
125,7121064460,0.7444408688106638
144,7121064580,0.33567172276564644
144,7120523490,0.6449017793441961
144,7120525650,0.019426497890157494
121,7121064510,1.0
138,7121064510,0.24030558050626882
138,7121064980,0.7596944194937311
139,7121064510,0.5538483129826652
139,7121064980,0.44615168701733476
155,7121064510,0.050216417785878896
155,7120521870,0.5418729034941948
155,7121064980,0.40791067871992626
124,7121064460,1.0
142,7121064460,1.0
143,7121064460,0.9999999999982571
143,7121065300,1.7430137013080122e-12
159,7121064460,0.4843236778174747
159,7121064980,0.5156763221825252
160,7121064460,1.0
161,7121064460,0.9811359957416153
161,7121065300,0.018864004258384703
177,7121064460,0.14586578185467355
177,7121064980,0.8541342181453265
178,7121064460,0.6763195827012208
178,7121064980,0.01014905707145721
178,7121065910,0.313531360227322
179,7121064460,0.6595305989591311
179,7121065910,0.3404694010408688
135,7120521870,0.7548751782794002
135,7120521990,0.24512482172059977
153,7120521870,0.08427959548569063
153,7120521990,0.32829071814790056
153,7121065360,0.5874296863664086
154,7120521870,0.7490093822730894
154,7120521990,0.001097836391587382
154,7121065360,0.2498927813353232
172,7120521870,0.03809440852531136
